name,prediction
model_antiviral3_4088_complex.19,0.88406295
model_antiviral3_1837_complex.10,0.88402754
model_antiviral3_3545_complex.9,0.88394666
model_antiviral3_2306_complex.9,0.8836573
model_antiviral3_2292_complex.10,0.88365465
model_antiviral3_2662_complex.3,0.8836531
model_antiviral3_2359_complex.15,0.8834077
model_antiviral3_2356_complex.8,0.88324845
model_antiviral3_2506_complex.14,0.8831586
model_antiviral3_591_complex.20,0.8829872
model_antiviral3_1129_complex.19,0.88285434
model_antiviral3_622_complex.14,0.88276166
model_antiviral3_864_complex.15,0.8826703
model_antiviral3_772_complex.1,0.8826414
model_antiviral3_3957_complex.4,0.8824239
model_antiviral3_2911_complex.4,0.8823829
model_antiviral3_1612_complex.15,0.88230765
model_antiviral3_888_complex.6,0.8821849
model_antiviral3_1171_complex.19,0.8821551
model_antiviral3_2962_complex.12,0.8821433
model_antiviral3_13_complex.5,0.88213366
model_antiviral3_3726_complex.17,0.88208854
model_antiviral3_137_complex.1,0.88195133
model_antiviral3_4098_complex.11,0.88178086
model_antiviral3_901_complex.4,0.88162684
model_antiviral3_2691_complex.10,0.88158137
model_antiviral3_1550_complex.3,0.88156104
model_antiviral3_2790_complex.13,0.8813636
model_antiviral3_2616_complex.17,0.88129646
model_antiviral3_2384_complex.19,0.8812447
model_antiviral3_1373_complex.6,0.88118464
model_antiviral3_3720_complex.12,0.88117325
model_antiviral3_2337_complex.11,0.88110113
model_antiviral3_201_complex.19,0.8810658
model_antiviral3_2901_complex.7,0.8809578
model_antiviral3_992_complex.9,0.88086236
model_antiviral3_42_complex.19,0.88084126
model_antiviral3_4108_complex.13,0.88066936
model_antiviral3_738_complex.10,0.8806657
model_antiviral3_264_complex.11,0.8806029
model_antiviral3_3886_complex.8,0.88048327
model_antiviral3_3968_complex.13,0.8803237
model_antiviral3_3120_complex.20,0.88022876
model_antiviral3_2747_complex.17,0.8800914
model_antiviral3_4499_complex.11,0.8800165
model_antiviral3_1720_complex.15,0.87997866
model_antiviral3_3717_complex.14,0.8799594
model_antiviral3_2214_complex.11,0.8799455
model_antiviral3_2111_complex.6,0.87987393
model_antiviral3_2993_complex.3,0.87975645
model_antiviral3_4502_complex.20,0.879677
model_antiviral3_2747_complex.18,0.87962675
model_antiviral3_603_complex.13,0.87947387
model_antiviral3_67_complex.17,0.8794311
model_antiviral3_3288_complex.9,0.87876445
model_antiviral3_4410_complex.19,0.87862134
model_antiviral3_1077_complex.4,0.87861085
model_antiviral3_4396_complex.8,0.8784904
model_antiviral3_776_complex.4,0.87838817
model_antiviral3_1470_complex.20,0.8783834
model_antiviral3_216_complex.6,0.8783483
model_antiviral3_1680_complex.20,0.8782908
model_antiviral3_1093_complex.2,0.8781987
model_antiviral3_1307_complex.20,0.8779592
model_antiviral3_11_complex.16,0.8779406
model_antiviral3_1163_complex.7,0.87767786
model_antiviral3_2554_complex.6,0.87742925
model_antiviral3_3793_complex.2,0.87742704
model_antiviral3_2046_complex.11,0.8773295
model_antiviral3_1822_complex.17,0.87707174
model_antiviral3_3970_complex.17,0.87698245
model_antiviral3_835_complex.9,0.8769143
model_antiviral3_1638_complex.2,0.8765992
model_antiviral3_2814_complex.20,0.87648964
model_antiviral3_1373_complex.1,0.8764519
model_antiviral3_1054_complex.14,0.8764464
model_antiviral3_971_complex.7,0.87627286
model_antiviral3_2555_complex.4,0.87596655
model_antiviral3_713_complex.4,0.8759414
model_antiviral3_3497_complex.7,0.8758202
model_antiviral3_307_complex.2,0.8755338
model_antiviral3_3239_complex.1,0.87546176
model_antiviral3_1959_complex.5,0.8754474
model_antiviral3_3915_complex.7,0.87539333
model_antiviral3_3702_complex.3,0.8752913
model_antiviral3_331_complex.18,0.8751754
model_antiviral3_2505_complex.4,0.8751129
model_antiviral3_1304_complex.9,0.8750499
model_antiviral3_742_complex.7,0.87493926
model_antiviral3_2655_complex.12,0.87493926
model_antiviral3_2260_complex.3,0.87488407
model_antiviral3_3163_complex.12,0.8748755
model_antiviral3_4433_complex.4,0.87478226
model_antiviral3_2013_complex.15,0.8747572
model_antiviral3_1582_complex.7,0.87464106
model_antiviral3_3026_complex.14,0.8746004
model_antiviral3_1528_complex.18,0.87446755
model_antiviral3_1029_complex.14,0.87407064
model_antiviral3_4116_complex.16,0.8739468
model_antiviral3_4397_complex.10,0.8738589
model_antiviral3_4434_complex.18,0.87381196
model_antiviral3_852_complex.14,0.8736881
model_antiviral3_2116_complex.13,0.8736665
model_antiviral3_1219_complex.17,0.8736639
model_antiviral3_3986_complex.17,0.87364614
model_antiviral3_3913_complex.2,0.8736024
model_antiviral3_4125_complex.5,0.873208
model_antiviral3_2716_complex.9,0.87281096
model_antiviral3_3883_complex.11,0.87280434
model_antiviral3_4184_complex.11,0.8727018
